# Azimuth angle [deg]	 r/R [-]	 Coefficient [-]
58	0.625	0.001152006614
58	0.660714	0.001131869366
58	0.696429	0.001026518359
58	0.732143	0.001032561284
58	0.767857	0.001076129844
58	0.803571	0
58	0.839286	0
58	0.875	0
58	0.910714	0
58	0.946429	0

60	0.267857	0.0005620597368
60	0.303571	0.0008896577012
60	0.339286	0.001173776196
60	0.375	0.001404933251
60	0.410714	0.001557737691
60	0.446429	0.001659537523
60	0.482143	0.001695236681
60	0.517857	0.001575213432
60	0.553571	0.001473121107
60	0.589286	0.001326561907
60	0.625	0.001152006614
60	0.660714	0.001131869366
60	0.696429	0.001026518359
60	0.732143	0.001032561284
60	0.767857	0.001076129844
60	0.803571	0
60	0.839286	0
60	0.875	0
60	0.910714	0
60	0.946429	0

62	0.267857	0.0005620597368
62	0.303571	0.0008896577012
62	0.339286	0.001173776196
62	0.375	0.001404933251
62	0.410714	0.001557737691
62	0.446429	0.001659537523
62	0.482143	0.001695236681
62	0.517857	0.001575213432
62	0.553571	0.001473121107
62	0.589286	0.001326561907
62	0.625	0.001152006614
62	0.660714	0.001131869366
62	0.696429	0.001026518359
62	0.732143	0.001032561284
62	0.767857	0.001076129844
62	0.803571	0
62	0.839286	0
62	0.875	0
62	0.910714	0
62	0.946429	0

64	0.267857	0.0005620597368
64	0.303571	0.0008896577012
64	0.339286	0.001173776196
64	0.375	0.001404933251
64	0.410714	0.001557737691
64	0.446429	0.001659537523
64	0.482143	0.001695236681
64	0.517857	0.001575213432
64	0.553571	0.001473121107
64	0.589286	0.001326561907
64	0.625	0.001152006614
64	0.660714	0.001131869366
64	0.696429	0.001026518359
64	0.732143	0.001032561284
64	0.767857	0.001076129844
64	0.803571	0
64	0.839286	0
64	0.875	0
64	0.910714	0
64	0.946429	0

66	0.267857	0.0005620597368
66	0.303571	0.0008896577012
66	0.339286	0.001173776196
66	0.375	0.001404933251
66	0.410714	0.001557737691
66	0.446429	0.001659537523
66	0.482143	0.001695236681
66	0.517857	0.001575213432
66	0.553571	0.001473121107
66	0.589286	0.001326561907
66	0.625	0.001152006614
66	0.660714	0.001131869366
66	0.696429	0.001026518359
66	0.732143	0.001032561284
66	0.767857	0.001076129844
66	0.803571	0
66	0.839286	0
66	0.875	0
66	0.910714	0
66	0.946429	0

68	0.267857	0.0005620597368
68	0.303571	0.0008896577012
68	0.339286	0.001173776196
68	0.375	0.001404933251
68	0.410714	0.001557737691
68	0.446429	0.001659537523
68	0.482143	0.001695236681
68	0.517857	0.001575213432
68	0.553571	0.001473121107
68	0.589286	0.001326561907
68	0.625	0.001152006614
68	0.660714	0.001131869366
68	0.696429	0.001026518359
68	0.732143	0.001032561284
68	0.767857	0.001076129844
68	0.803571	0
68	0.839286	0
68	0.875	0
68	0.910714	0
68	0.946429	0

70	0.267857	0.0005620597368
70	0.303571	0.0008896577012
70	0.339286	0.001173776196
70	0.375	0.001404933251
70	0.410714	0.001557737691
70	0.446429	0.001659537523
70	0.482143	0.001695236681
70	0.517857	0.001575213432
70	0.553571	0.001473121107
70	0.589286	0.001326561907
70	0.625	0.001152006614
70	0.660714	0.001131869366
70	0.696429	0.001026518359
70	0.732143	0.001032561284
70	0.767857	0.001076129844
70	0.803571	0
70	0.839286	0
70	0.875	0
70	0.910714	0
70	0.946429	0

72	0.267857	0.0005620597368
72	0.303571	0.0008896577012
72	0.339286	0.001173776196
72	0.375	0.001404933251
72	0.410714	0.001557737691
72	0.446429	0.001659537523
72	0.482143	0.001695236681
72	0.517857	0.001575213432
72	0.553571	0.001473121107
72	0.589286	0.001326561907
72	0.625	0.001152006614
72	0.660714	0.001131869366
72	0.696429	0.001026518359
72	0.732143	0.001032561284
72	0.767857	0.001076129844
72	0.803571	0
72	0.839286	0
72	0.875	0
72	0.910714	0
72	0.946429	0

74	0.267857	0.0005620597368
74	0.303571	0.0008896577012
74	0.339286	0.001173776196
74	0.375	0.001404933251
74	0.410714	0.001557737691
74	0.446429	0.001659537523
74	0.482143	0.001695236681
74	0.517857	0.001575213432
74	0.553571	0.001473121107
74	0.589286	0.001326561907
74	0.625	0.001152006614
74	0.660714	0.001131869366
74	0.696429	0.001026518359
74	0.732143	0.001032561284
74	0.767857	0.001076129844
74	0.803571	0
74	0.839286	0
74	0.875	0
74	0.910714	0
74	0.946429	0

76	0.267857	0.0005620597368
76	0.303571	0.0008896577012
76	0.339286	0.001173776196
76	0.375	0.001404933251
76	0.410714	0.001557737691
76	0.446429	0.001659537523
76	0.482143	0.001695236681
76	0.517857	0.001575213432
76	0.553571	0.001473121107
76	0.589286	0.001326561907
76	0.625	0.001152006614
76	0.660714	0.001131869366
76	0.696429	0.001026518359
76	0.732143	0.001032561284
76	0.767857	0.001076129844
76	0.803571	0
76	0.839286	0
76	0.875	0
76	0.910714	0
76	0.946429	0

78	0.267857	0.0005620597368
78	0.303571	0.0008896577012
78	0.339286	0.001173776196
78	0.375	0.001404933251
78	0.410714	0.001557737691
78	0.446429	0.001659537523
78	0.482143	0.001695236681
78	0.517857	0.001575213432
78	0.553571	0.001473121107
78	0.589286	0.001326561907
78	0.625	0.001152006614
