#BB acoustic spectrum: f [Hz]        Spp [Pa^2/Hz]      Spp_u [Pa^2/Hz]     Spp_l [Pa^2/Hz]
8.3500000000e+02     6.5144715872e-10    2.2733089459e-10    4.2411626413e-10
8.4000000000e+02     8.4102082640e-11    9.1271598543e-12    7.4974922785e-11
8.4500000000e+02     1.9206753835e-10    3.7644105823e-11    1.5442343253e-10
8.5000000000e+02     2.5520349404e-09    5.0268586589e-11    2.5017663538e-09
8.5500000000e+02     9.7972520037e-10    8.0898064127e-11    8.9882713625e-10
8.6000000000e+02     4.7941296933e-10    1.8818903450e-11    4.6059406588e-10
8.6500000000e+02     6.7153066260e-10    3.4454026940e-10    3.2699039321e-10
8.7000000000e+02     2.0521881948e-10    2.7992686278e-11    1.7722613320e-10
8.7500000000e+02     9.8928042303e-11    3.5725945434e-11    6.3202096869e-11
8.8000000000e+02     4.3428673713e-10    6.2207535376e-11    3.7207920175e-10
8.8500000000e+02     3.7696066043e-09    1.0654346356e-10    3.6630631407e-09
8.9000000000e+02     1.5571534910e-10    6.6480788067e-11    8.9234561035e-11
8.9500000000e+02     5.0353850161e-10    1.1991468962e-10    3.8362381200e-10
9.0000000000e+02     1.9289879506e-09    2.5718294656e-11    1.9032696560e-09
9.0500000000e+02     3.3439191775e-09    1.7630888237e-09    1.5808303539e-09
9.1000000000e+02     1.7841641492e-10    1.7534358202e-11    1.6088205672e-10
9.1500000000e+02     3.9663356680e-10    1.6411693070e-10    2.3251663609e-10
9.2000000000e+02     2.5765677344e-09    3.9021500446e-11    2.5375462340e-09
9.2500000000e+02     4.5169562777e-10    7.7349755959e-11    3.7434587181e-10
9.3000000000e+02     6.6955856966e-06    2.5030202580e-06    4.1925654386e-06
9.3500000000e+02     3.6160646914e-10    3.9184922750e-11    3.2242154639e-10
9.4000000000e+02     2.0629133278e-09    1.1350047236e-11    2.0515632806e-09
9.4500000000e+02     6.4836942602e-10    9.3750444374e-11    5.5461898164e-10
9.5000000000e+02     3.2675285840e-09    1.1069343855e-09    2.1605941985e-09
9.5500000000e+02     1.9604229512e-10    7.1507712693e-11    1.2453458242e-10
9.6000000000e+02     2.2066455454e-10    5.9733906277e-11    1.6093064827e-10
9.6500000000e+02     1.0708397613e-08    5.8201323229e-09    4.8882652898e-09
9.7000000000e+02     6.3523865081e-09    1.3941841460e-09    4.9582023621e-09
9.7500000000e+02     5.4491486632e-09    7.7593539008e-10    4.6732132731e-09
9.8000000000e+02     6.3946236548e-09    2.7133621078e-11    6.3674900338e-09
9.8500000000e+02     5.9868383604e-09    5.2833667773e-10    5.4585016826e-09
9.9000000000e+02     9.8888205257e-09    3.4321601606e-09    6.4566603651e-09
9.9500000000e+02     9.0472805767e-10    3.1729331552e-10    5.8743474215e-10
1.0000000000e+03     4.3658232166e-10    1.3058751230e-10    3.0599480936e-10
1.0050000000e+03     3.6390231086e-10    6.3920921203e-11    2.9998138966e-10
1.0100000000e+03     4.1887820099e-10    1.7283648653e-10    2.4604171447e-10
1.0150000000e+03     2.5982199890e-10    1.3928136016e-11    2.4589386288e-10
1.0200000000e+03     2.6538852808e-10    5.0275223949e-11    2.1511330413e-10
1.0250000000e+03     9.7069789112e-10    1.5516721250e-10    8.1553067862e-10
