#BB acoustic spectrum: f [Hz]        Spp [Pa^2/Hz]      Spp_u [Pa^2/Hz]     Spp_l [Pa^2/Hz]
2.4125000000e+03     4.9092951721e-07    8.0908547832e-08    4.1002096938e-07
2.4250000000e+03     4.9008429618e-07    8.0829529339e-08    4.0925476684e-07
2.4375000000e+03     4.8970109150e-07    8.0756818537e-08    4.0894427297e-07
2.4500000000e+03     4.9001430610e-07    8.0683900441e-08    4.0933040566e-07
2.4625000000e+03     4.9119457330e-07    8.0603709125e-08    4.1059086417e-07
2.4750000000e+03     4.9332610202e-07    8.0508897303e-08    4.1281720472e-07
2.4875000000e+03     4.9639329007e-07    8.0392118724e-08    4.1600117134e-07
2.5000000000e+03     5.0027889088e-07    8.0246315168e-08    4.2003257571e-07
2.5125000000e+03     5.0477445938e-07    8.0064999547e-08    4.2470945983e-07
2.5250000000e+03     5.0960205688e-07    7.9842526637e-08    4.2975953024e-07
2.5375000000e+03     5.1444454920e-07    7.9574343242e-08    4.3487020596e-07
2.5500000000e+03     5.1898056511e-07    7.9257210162e-08    4.3972335494e-07
2.5625000000e+03     5.2291951174e-07    7.8889389148e-08    4.4403012260e-07
2.5750000000e+03     5.2603208969e-07    7.8470789009e-08    4.4756130068e-07
2.5875000000e+03     5.2817250446e-07    7.8003066290e-08    4.5016943817e-07
2.6000000000e+03     5.2928990294e-07    7.7489677208e-08    4.5180022573e-07
2.6125000000e+03     5.2942823718e-07    7.6935878956e-08    4.5249235823e-07
2.6250000000e+03     5.2871548214e-07    7.6348679870e-08    4.5236680227e-07
2.6375000000e+03     5.2734460983e-07    7.5736739365e-08    4.5160787046e-07
2.6500000000e+03     5.2554970541e-07    7.5110219815e-08    4.5043948559e-07
2.6625000000e+03     5.2358095246e-07    7.4480593768e-08    4.4910035869e-07
2.6750000000e+03     5.2168189139e-07    7.3860410919e-08    4.4782148048e-07
2.6875000000e+03     5.2007147024e-07    7.3263030168e-08    4.4680844007e-07
2.7000000000e+03     5.1893216679e-07    7.2702322822e-08    4.4622984397e-07
2.7125000000e+03     5.1840413423e-07    7.2192353555e-08    4.4621178067e-07
2.7250000000e+03     5.1858418266e-07    7.1747046204e-08    4.4683713645e-07
2.7375000000e+03     5.1952768298e-07    7.1379841716e-08    4.4814784126e-07
2.7500000000e+03     3.2857012962e-05    3.2406865018e-05    4.5014794392e-07
2.7625000000e+03     1.1921402333e-05    1.1468596537e-05    4.5280579581e-07
2.7750000000e+03     6.7521023250e-06    6.2960478695e-06    4.5605445546e-07
2.7875000000e+03     4.6012242719e-06    4.1414337649e-06    4.5979050707e-07
2.8000000000e+03     3.4739043453e-06    3.0100317932e-06    4.6387255204e-07
2.8125000000e+03     2.7995721210e-06    2.3314507026e-06    4.6812141835e-07
2.8250000000e+03     2.3599053926e-06    1.8875809684e-06    4.7232442428e-07
2.8375000000e+03     2.0551440316e-06    1.5788983201e-06    4.7624571151e-07
