# Azimuth angle [deg]	 r/R [-]	 Coefficient [-]
48	0.660714	0.0237221705
48	0.696429	0.01518483374
48	0.732143	0.009802639654
48	0.767857	0.004150563344
48	0.803571	0
48	0.839286	0
48	0.875	0
48	0.910714	0
48	0.946429	0

50	0.267857	0.01247539902
50	0.303571	0.02152188844
50	0.339286	0.02889897965
50	0.375	0.03521791114
50	0.410714	0.03986566953
50	0.446429	0.04311019811
50	0.482143	0.04458059803
50	0.517857	0.04224876685
50	0.553571	0.03944150076
50	0.589286	0.03460913506
50	0.625	0.02739108404
50	0.660714	0.0237221705
50	0.696429	0.01518483374
50	0.732143	0.009802639654
50	0.767857	0.004150563344
50	0.803571	0
50	0.839286	0
50	0.875	0
50	0.910714	0
50	0.946429	0

52	0.267857	0.01247539902
52	0.303571	0.02152188844
52	0.339286	0.02889897965
52	0.375	0.03521791114
52	0.410714	0.03986566953
52	0.446429	0.04311019811
52	0.482143	0.04458059803
52	0.517857	0.04224876685
52	0.553571	0.03944150076
52	0.589286	0.03460913506
52	0.625	0.02739108404
52	0.660714	0.0237221705
52	0.696429	0.01518483374
52	0.732143	0.009802639654
52	0.767857	0.004150563344
52	0.803571	0
52	0.839286	0
52	0.875	0
52	0.910714	0
52	0.946429	0

54	0.267857	0.01247539902
54	0.303571	0.02152188844
54	0.339286	0.02889897965
54	0.375	0.03521791114
54	0.410714	0.03986566953
54	0.446429	0.04311019811
54	0.482143	0.04458059803
54	0.517857	0.04224876685
54	0.553571	0.03944150076
54	0.589286	0.03460913506
54	0.625	0.02739108404
54	0.660714	0.0237221705
54	0.696429	0.01518483374
54	0.732143	0.009802639654
54	0.767857	0.004150563344
54	0.803571	0
54	0.839286	0
54	0.875	0
54	0.910714	0
54	0.946429	0

56	0.267857	0.01247539902
56	0.303571	0.02152188844
56	0.339286	0.02889897965
56	0.375	0.03521791114
56	0.410714	0.03986566953
56	0.446429	0.04311019811
56	0.482143	0.04458059803
56	0.517857	0.04224876685
56	0.553571	0.03944150076
56	0.589286	0.03460913506
56	0.625	0.02739108404
56	0.660714	0.0237221705
56	0.696429	0.01518483374
56	0.732143	0.009802639654
56	0.767857	0.004150563344
56	0.803571	0
56	0.839286	0
56	0.875	0
56	0.910714	0
56	0.946429	0

58	0.267857	0.01247539902
58	0.303571	0.02152188844
58	0.339286	0.02889897965
58	0.375	0.03521791114
58	0.410714	0.03986566953
58	0.446429	0.04311019811
58	0.482143	0.04458059803
58	0.517857	0.04224876685
58	0.553571	0.03944150076
58	0.589286	0.03460913506
58	0.625	0.02739108404
58	0.660714	0.0237221705
58	0.696429	0.01518483374
58	0.732143	0.009802639654
58	0.767857	0.004150563344
58	0.803571	0
58	0.839286	0
58	0.875	0
58	0.910714	0
58	0.946429	0

60	0.267857	0.01247539902
60	0.303571	0.02152188844
60	0.339286	0.02889897965
60	0.375	0.03521791114
60	0.410714	0.03986566953
60	0.446429	0.04311019811
60	0.482143	0.04458059803
60	0.517857	0.04224876685
60	0.553571	0.03944150076
60	0.589286	0.03460913506
60	0.625	0.02739108404
60	0.660714	0.0237221705
60	0.696429	0.01518483374
60	0.732143	0.009802639654
60	0.767857	0.004150563344
60	0.803571	0
60	0.839286	0
60	0.875	0
60	0.910714	0
60	0.946429	0

62	0.267857	0.01247539902
62	0.303571	0.02152188844
62	0.339286	0.02889897965
62	0.375	0.03521791114
62	0.410714	0.03986566953
62	0.446429	0.04311019811
62	0.482143	0.04458059803
62	0.517857	0.04224876685
62	0.553571	0.03944150076
62	0.589286	0.03460913506
62	0.625	0.02739108404
62	0.660714	0.0237221705
62	0.696429	0.01518483374
62	0.732143	0.009802639654
62	0.767857	0.004150563344
62	0.803571	0
62	0.839286	0
62	0.875	0
62	0.910714	0
62	0.946429	0

64	0.267857	0.01247539902
64	0.303571	0.02152188844
64	0.339286	0.02889897965
64	0.375	0.03521791114
64	0.410714	0.03986566953
64	0.446429	0.04311019811
64	0.482143	0.04458059803
64	0.517857	0.04224876685
64	0.553571	0.03944150076
64	0.589286	0.03460913506
64	0.625	0.02739108404
64	0.660714	0.0237221705
64	0.696429	0.01518483374
64	0.732143	0.009802639654
64	0.767857	0.004150563344
64	0.803571	0
64	0.839286	0
64	0.875	0
64	0.910714	0
64	0.946429	0

66	0.267857	0.01247539902
66	0.303571	0.02152188844
66	0.339286	0.02889897965
66	0.375	0.03521791114
66	0.410714	0.03986566953
66	0.446429	0.04311019811
66	0.482143	0.04458059803
66	0.517857	0.04224876685
66	0.553571	0.03944150076
66	0.589286	0.03460913506
66	0.625	0.02739108404
66	0.660714	0.0237221705
66	0.696429	0.01518483374
66	0.732143	0.009802639654
66	0.767857	0.004150563344
66	0.803571	0
66	0.839286	0
66	0.875	0
66	0.910714	0
66	0.946429	0

68	0.267857	0.01247539902
68	0.303571	0.02152188844
68	0.339286	0.02889897965
68	0.375	0.03521791114
68	0.410714	0.03986566953
68	0.446429	0.04311019811
68	0.482143	0.04458059803
68	0.517857	0.04224876685
68	0.553571	0.03944150076
68	0.589286	0.03460913506
68	0.625	0.02739108404
68	0.660714	0.0237221705
68	0.696429	0.01518483374
68	0.732143	0.009802639654
68	0.767857	0.004150563344
68	0.803571	0
68	0.839286	0
68	0.875	0
68	0.910714	0
68	0.946429	0

70	0.267857	0.01247539902
70	0.303571	0.02152188844
70	0.339286	0.02889897965
70	0.375	0.03521791114
70	0.410714	0.03986566953
70	0.446429	0.04311019811
70	0.482143	0.04458059803
70	0.517857	0.04224876685
70	0.553571	0.03944150076
70	0.589286	0.03460913506
70	0.625	0.02739108404
70	0.660714	0.0237221705
70	0.696429	0.01518483374
70	0.732143	0.009802639654
70	0.767857	0.004150563344
70	0.803571	0
70	0.839286	0
70	0.875	0
70	0.910714	0
70	0.946429	0

72	0.267857	0.01247539902
72	0.303571	0.02152188844
72	0.339286	0.02889897965
72	0.375	0.03521791114
72	0.410714	0.03986566953
72	0.446429	0.04311019811
72	0.482143	0.04458059803
72	0.517857	0.04224876685
72	0.553571	0.03944150076
72	0.589286	0.03460913506
72	0.625	0.02739108404
72	0.660714	0.0237221705
72	0.696429	0.01518483374
72	0.732143	0.009802639654
72	0.767857	0.004150563344
72	0.803571	0
72	0.839286	0
72	0.875	0
72	0.910714	0
72	0.946429	0

74	0.267857	0.01247539902
74	0.303571	0.02152188844
74	0.339286	0.02889897965
74	0.375	0.03521791114
74	0.410714	0.03986566953
74	0.446429	0.04311019811
74	0.482143	0.04458059803
74	0.517857	0.04224876685
74	0.553571	0.03944150076
74	0.589286	0.03460913506
74	0.625	0.02739108404
74	0.660714	0.0237221705
74	0.696429	0.01518483374
74	0.732143	0.009802639654
74	0.767857	0.004150563344
74	0.803571	0
74	0.839286	0
74	0.875	0
74	0.910714	0
74	0.946429	0

76	0.267857	0.01247539902
76	0.303571	0.02152188844
76	0.339286	0.02889897965
76	0.375	0.03521791114
76	0.410714	0.03986566953
76	0.446429	0.04311019811
76	0.482143	0.04458059803
76	0.517857	0.04224876685
76	0.553571	0.03944150076
76	0.589286	0.03460913506
76	0.625	0.02739108404
76	0.660714	0.0237221705
76	0.696429	0.01518483374
76	0.732143	0.009802639654
76	0.767857	0.004150563344
76	0.803571	0
76	0.839286	0
76	0.875	0
76	0.910714	0
76	0.946429	0

78	0.267857	0.01247539902
78	0.303571	0.02152188844
78	0.339286	0.02889897965
78	0.375	0.03521791114
78	0.410714	0.03986566953
78	0.446429	0.04311019811
78	0.482143	0.04458059803
78	0.517857	0.04224876685
78	0.553571	0.03944150076
78	0.589286	0.03460913506
78	0.625	0.02739108404
78	0.660714	0.0237221705
78	0.696429	0.01518483374
78	0.732143	0.009802639654
78	0.767857	0.004150563344
78	0.803571	0
78	0.839286	0
78	0.875	0
78	0.910714	0
78	0.946429	0

80	0.267857	0.01247539902
80	0.303571	0.02152188844
80	0.339286	0.02889897965
80	0.375	0.03521791114
80	0.410714	0.03986566953
80	0.446429	0.04311019811
80	0.482143	0.04458059803
80	0.517857	0.04224876685
80	0.553571	0.03944150076
80	0.589286	0.03460913506
80	0.625	0.02739108404
80	0.660714	0.0237221705
80	0.696429	0.01518483374
80	0.732143	0.009802639654
80	0.767857	0.004150563344
80	0.803571	0
80	0.839286	0
80	0.875	0
80	0.910714	0
80	0.946429	0

82	0.267857	0.01247539902
82	0.303571	0.02152188844
82	0.339286	0.02889897965
82	0.375	0.03521791114
82	0.410714	0.03986566953
82	0.446429	0.04311019811
82	0.482143	0.04458059803
82	0.517857	0.04224876685
82	0.553571	0.03944150076
82	0.589286	0.03460913506
82	0.625	0.02739108404
82	0.660714	0.0237221705
82	0.696429	0.01518483374
82	0.732143	0.009802639654
82	0.767857	0.004150563344
82	0.803571	0
82	0.839286	0
82	0.875	0
82	0.910714	0
82	0.946429	0

84	0.267857	0.01247539902
84	0.303571	0.02152188844
84	0.339286	0.02889897965
84	0.375	0.03521791114
84	0.410714	0.03986566953
84	0.446429	0.04311019811
84	0.482143	0.04458059803
84	0.517857	0.04224876685
84	0.553571	0.03944150076
84	0.589286	0.03460913506
84	0.625	0.02739108404
84	0.660714	0.0237221705
84	0.696429	0.01518483374
84	0.732143	0.009802639654
84	0.767857	0.004150563344
84	0.803571	0
84	0.839286	0
84	0.875	0
84	0.910714	0
84	0.946429	0

86	0.267857	0.01247539902
86	0.303571	0.02152188844
86	0.339286	0.02889897965
86	0.375	0.03521791114
86	0.410714	0.03986566953
86	0.446429	0.04311019811
86	0.482143	0.04458059803
86	0.517857	0.04224876685
86	0.553571	0.03944150076
86	0.589286	0.03460913506
86	0.625	0.02739108404
86	0.660714	0.0237221705
86	0.696429	0.01518483374
86	0.732143	0.009802639654
86	0.767857	0.004150563344
86	0.803571	0
86	0.839286	0
86	0.875	0
86	0.910714	0
86	0.946429	0

88	0.267857	0.01247539902
88	0.303571	0.02152188844
88	0.339286	0.02889897965
88	0.375	0.03521791114
88	0.410714	0.03986566953
88	0.446429	0.04311019811
88	0.482143	0.04458059803
88	0.517857	0.04224876685
88	0.553571	0.03944150076
88	0.589286	0.03460913506
88	0.625	0.02739108404
88	0.660714	0.0237221705
88	0.696429	0.01518483374
88	0.732143	0.009802639654
88	0.767857	0.004150563344
88	0.803571	0
88	0.839286	0
88	0.875	0
88	0.910714	0
88	0.946429	0

90	0.267857	0.01247539902
90	0.303571	0.02152188844
90	0.339286	0.02889897965
90	0.375	0.03521791114
90	0.410714	0.03986566953
90	0.446429	0.04311019811
90	0.482143	0.04458059803
90	0.517857	0.04224876685
90	0.553571	0.03944150076
90	0.589286	0.03460913506
90	0.625	0.02739108404
90	0.660714	0.0237221705
90	0.696429	0.01518483374
90	0.732143	0.009802639654
90	0.767857	0.004150563344
90	0.803571	0
90	0.839286	0
90	0.875	0
90	0.910714	0
90	0.946429	0

92	0.267857	0.01247539902
92	0.303571	0.02152188844
92	0.339286	0.02889897965
92	0.375	0.03521791114
92	0.410714	0.03986566953
92	0.446429	0.04311019811
92	0.482143	0.04458059803
92	0.517857	0.04224876685
92	0.553571	0.03944150076
92	0.589286	0.03460913506
92	0.625	0.02739108404
92	0.660714	0.0237221705
92	0.696429	0.01518483374
92	0.732143	0.009802639654
92	0.767857	0.004150563344
92	0.803571	0
92	0.839286	0
92	0.875	0
92	0.910714	0
92	0.946429	0

94	0.267857	0.01247539902
94	0.303571	0.02152188844
94	0.339286	0.02889897965
94	0.375	0.03521791114
94	0.410714	0.03986566953
94	0.446429	0.04311019811
94	0.482143	0.04458059803
94	0.517857	0.04224876685
94	0.553571	0.03944150076
94	0.589286	0.03460913506
94	0.625	0.02739108404
94	0.660714	0.0237221705
94	0.696429	0.01518483374
94	0.732143	0.009802639654
94	0.767857	0.004150563344
94	0.803571	0
94	0.839286	0
94	0.875	0
94	0.910714	0
94	0.946429	0

96	0.267857	0.01247539902
96	0.303571	0.02152188844
96	0.339286	0.02889897965
96	0.375	0.03521791114
96	0.410714	0.03986566953
96	0.446429	0.04311019811
96	0.482143	0.04458059803
96	0.517857	0.04224876685
96	0.553571	0.03944150076
96	0.589286	0.03460913506
96	0.625	0.02739108404
96	0.660714	0.0237221705
96	0.696429	0.01518483374
96	0.732143	0.009802639654
96	0.767857	0.004150563344
96	0.803571	0
96	0.839286	0
96	0.875	0
96	0.910714	0
96	0.946429	0

98	0.267857	0.01247539902
98	0.303571	0.02152188844
98	0.339286	0.02889897965
98	0.375	0.03521791114
98	0.410714	0.03986566953
98	0.446429	0.04311019811
98	0.482143	0.04458059803
98	0.517857	0.04224876685
98	0.553571	0.03944150076
98	0.589286	0.03460913506
98	0.625	0.02739108404
98	0.660714	0.0237221705
98	0.696429	0.01518483374
98	0.732143	0.009802639654
98	0.767857	0.004150563344
98	0.803571	0
98	0.839286	0
98	0.875	0
98	0.910714	0
98	0.946429	0

100	0.267857	0.01247539902
100	0.303571	0.02152188844
100	0.339286	0.02889897965
100	0.375	0.03521791114
100	0.410714	0.03986566953
100	0.446429	0.04311019811
100	0.482143	0.04458059803
100	0.517857	0.04224876685
100	0.553571	0.03944150076
100	0.589286	0.03460913506
100	0.625	0.02739108404
100	0.660714	0.0237221705
100	0.696429	0.01518483374
100	0.732143	0.009802639654
100	0.767857	0.004150563344
100	0.803571	0
100	0.839286	0
100	0.875	0
100	0.910714	0
100	0.946429	0

102	0.267857	0.01247539902
102	0.303571	0.02152188844
102	0.339286	0.02889897965
102	0.375	0.03521791114
102	0.410714	0.03986566953
102	0.446429	0.04311019811
102	0.482143	0.04458059803
102	0.517857	0.04224876685
102	0.553571	0.03944150076
102	0.589286	0.03460913506
102	0.625	0.02739108404
102	0.660714	0.0237221705
102	0.696429	0.01518483374
102	0.732143	0.009802639654
102	0.767857	0.004150563344
102	0.803571	0
102	0.839286	0
102	0.875	0
102	0.910714	0
102	0.946429	0

104	0.267857	0.01247539902
104	0.303571	0.02152188844
104	0.339286	0.02889897965
104	0.375	0.03521791114
104	0.410714	0.03986566953
104	0.446429	0.04311019811
104	0.482143	0.04458059803
104	0.517857	0.04224876685
104	0.553571	0.03944150076
104	0.589286	0.03460913506
104	0.625	0.02739108404
104	0.660714	0.0237221705
104	0.696429	0.01518483374
104	0.732143	0.009802639654
104	0.767857	0.004150563344
104	0.803571	0
104	0.839286	0
104	0.875	0
104	0.910714	0
104	0.946429	0

106	0.267857	0.01247539902
106	0.303571	0.02152188844
106	0.339286	0.02889897965
106	0.375	0.03521791114
106	0.410714	0.03986566953
106	0.446429	0.04311019811
106	0.482143	0.04458059803
106	0.517857	0.04224876685
106	0.553571	0.03944150076
106	0.589286	0.03460913506
106	0.625	0.02739108404
106	0.660714	0.0237221705
106	0.696429	0.01518483374
106	0.732143	0.009802639654
106	0.767857	0.004150563344
106	0.803571	0
106	0.839286	0
106	0.875	0
106	0.910714	0
106	0.946429	0

108	0.267857	0.01247539902
108	0.303571	0.02152188844
108	0.339286	0.02889897965
108	0.375	0.03521791114
108	0.410714	0.03986566953
108	0.446429	0.04311019811
108	0.482143	0.04458059803
108	0.517857	0.04224876685
108	0.553571	0.03944150076
108	0.589286	0.03460913506
108	0.625	0.02739108404
108	0.660714	0.0237221705
108	0.696429	0.01518483374
108	0.732143	0.009802639654
108	0.767857	0.004150563344
